110	120	130	140	150	160	170	180	190	200	freq
5.416640507	5.281033367	5.152288344	5.029383778	4.867467488	4.653212514	4.404833717	4.167317335	3.940018155	3.742725131	2.477121255
5.372912003	5.230448921	5.089905111	4.958085849	4.783903579	4.552668216	4.290034611	4.037426498	3.803457116	3.599883072	2.276461804
5.328379603	5.176091259	5.029383778	4.889301703	4.700703717	4.451786436	4.161368002	3.888740961	3.644438589	3.437750563	2.075546961
5.28780173	5.127104798	4.967547976	4.820201459	4.620136055	4.350248018	4.037426498	3.738780558	3.481442629	3.271841607	1.877371346
5.247973266	5.075546961	4.909020854	4.755112266	4.540329475	4.252853031	3.913283902	3.589949601	3.320146286	3.103803721	1.67669361
5.209515015	5.029383778	4.851258349	4.691081492	4.465382851	4.161368002	3.794488047	3.445604203	3.161368002	2.940018155	1.477121255
5.173186268	4.980003372	4.79518459	4.627365857	4.390935107	4.071882007	3.681241237	3.307496038	3.008600172	2.78604121	1.276461804
5.136720567	4.933487288	4.740362689	4.567026366	4.320146286	3.989894564	3.574031268	3.173186268	2.863917377	2.639486489	1.075546961
5.100370545	4.886490725	4.686636269	4.507855872	4.252853031	3.910624405	3.471291711	3.045322979	2.721810615	2.496929648	0.877371346
5.064457989	4.838849091	4.632457292	4.450249108	4.187520721	3.834420704	3.372912003	2.91750551	2.582063363	2.356025857	0.67669361
5.025305865	4.790285164	4.579783597	4.394451681	4.123851641	3.761927838	3.278753601	2.79518459	2.445604203	2.220108088	0.477121255
4.983626287	4.741151599	4.526339277	4.338456494	4.064457989	3.692846919	3.187520721	2.674861141	2.309630167	2.086359831	0.276461804
4.939519253	4.69019608	4.475671188	4.285557309	4.004321374	3.627365857	3.100370545	2.557507202	2.176091259	1.952792443	0.075546961
4.892094603	4.640481437	4.424881637	4.238046103	3.951337519	3.565847819	3.017033339	2.442479769	2.045322979	1.826074803	-0.122628654
4.84260924	4.591064607	4.378397901	4.193124598	3.898725182	3.507855872	2.942999593	2.324282455	1.914343157	1.700703717	-0.32330639
4.790988475	4.542825427	4.334453751	4.155336037	3.850033258	3.45484486	2.870988814	2.217483944	1.796574333	1.611723308	-0.522878745
